chemotype,compound_id,compound_name,serum_active,label_source,confidence,detail
papulacandin,PAPU-0087,Fusacandin analog 6q,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0087,Fusacandin analog 6q,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0087,Fusacandin analog 6q,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0087,Fusacandin analog 6q,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0087,Fusacandin analog 6q,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0088,Fusacandin analog 6r,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0088,Fusacandin analog 6r,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0088,Fusacandin analog 6r,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0088,Fusacandin analog 6r,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0088,Fusacandin analog 6r,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0089,Fusacandin analog 6s,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0089,Fusacandin analog 6s,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0089,Fusacandin analog 6s,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0089,Fusacandin analog 6s,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0089,Fusacandin analog 6s,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0090,Fusacandin analog 6t,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0090,Fusacandin analog 6t,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0090,Fusacandin analog 6t,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0090,Fusacandin analog 6t,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0090,Fusacandin analog 6t,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0091,Fusacandin analog 6u,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0091,Fusacandin analog 6u,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0091,Fusacandin analog 6u,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0091,Fusacandin analog 6u,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0091,Fusacandin analog 6u,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =2.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0003,MICAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0003,MICAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0003,MICAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0003,MICAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0003,MICAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =16.0 ug/mL
echinocandin,EXT-FKS-0003,MICAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,0,echinocandin_serum_mic,high,serum-present; ; MIC >64.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =2.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,0,echinocandin_serum_mic,high,serum-present; ; MIC >32.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,0,echinocandin_serum_mic,high,serum-present; ; MIC >32.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,0,echinocandin_serum_mic,high,serum-present; ; MIC >32.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =1.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,0,echinocandin_serum_mic,high,serum-present; ; MIC >32.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =1.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =2.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =2.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.25 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =1.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =1.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.5 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.06 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.125 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.25 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.5 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.5 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.5 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =2.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.25 ug/mL
echinocandin,EXT-FKS-0001,CASPOFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =1.0 ug/mL
echinocandin,EXT-FKS-0027,CHEMBL2387203,1,echinocandin_serum_mic,high,serum-present; ; MIC =16.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.5 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =1.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.5 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =4.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =8.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =2.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =2.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =16.0 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =0.5 ug/mL
echinocandin,EXT-FKS-0002,ANIDULAFUNGIN,1,echinocandin_serum_mic,high,serum-present; ; MIC =1.0 ug/mL
